entry,title,keywords,abstract,year,journal
STUTZ20181,Superpixels: An evaluation of the state-of-the-art,"Superpixels, Superpixel segmentation, Image segmentation, Perceptual grouping, Benchmark, Evaluation","Superpixels group perceptually similar pixels to create visually meaningful entities while heavily reducing the number of primitives for subsequent processing steps. As of these properties, superpixel algorithms have received much attention since their naming in 2003 (Ren and Malik, 2003). By today, publicly available superpixel algorithms have turned into standard tools in low-level vision. As such, and due to their quick adoption in a wide range of applications, appropriate benchmarks are crucial for algorithm selection and comparison. Until now, the rapidly growing number of algorithms as well as varying experimental setups hindered the development of a unifying benchmark. We present a comprehensive evaluation of 28 state-of-the-art superpixel algorithms utilizing a benchmark focussing on fair comparison and designed to provide new insights relevant for applications. To this end, we explicitly discuss parameter optimization and the importance of strictly enforcing connectivity. Furthermore, by extending well-known metrics, we are able to summarize algorithm performance independent of the number of generated superpixels, thereby overcoming a major limitation of available benchmarks. Furthermore, we discuss runtime, robustness against noise, blur and affine transformations, implementation details as well as aspects of visual quality. Finally, we present an overall ranking of superpixel algorithms which redefines the state-of-the-art and enables researchers to easily select appropriate algorithms and the corresponding implementations which themselves are made publicly available as part of our benchmark at http://www.davidstutz.de/projects/superpixel-benchmark/.",2018,Computer Vision and Image Understanding
KIFORENKO201866,A performance evaluation of point pair features,"PPF, Point pair features, Object detection, Object recognition, Pose estimation, Feature description","More than a decade ago, the point pair features (PPFs) were introduced, showing a great potential for 3D object detection and pose estimation under very different conditions. Many modifications have been made to the original PPF, in each case showing varying degrees of improvement for specific datasets. However, to the best of our knowledge, no comprehensive evaluation of these features has been made. In this work, we evaluate PPFs on a large set of 3D scenes. We not only compare PPFs to local point cloud descriptors, but also investigate the internal variations of PPFs (different types of relations between two points). Our comparison is made on 7 publicly available datasets, showing variations on a number of parameters, e.g. acquisition technique, the number of objects/scenes and the amount of occlusion and clutter. We evaluate feature performance both at a point-wise object-scene correspondence level and for overall object detection and pose estimation in a RANSAC pipeline. Additionally, we also present object detection and pose estimation results for the original, voting based, PPF algorithm. Our results show that in general PPF is the top performer, however, there are datasets, which have low resolution data, where local histogram features show a higher performance than PPFs. We also found that PPFs compared to most local histogram features degrade faster under disturbances such as occlusion and clutter, however, PPFs still remain more descriptive on an absolute scale. The main contribution of this paper is a detailed analysis of PPFs, which highlights under which conditions PPFs perform particularly well as well as its main weaknesses.",2018,Computer Vision and Image Understanding
KOU201888,Proximal robust factorization for piecewise planar reconstruction,"Dense planar reconstruction, Robust factorization, Structure from motion, Non-convex optimization","In this paper, we aim to obtain a dense piecewise planar reconstruction of the scene from multiple image frames based on a factorization framework. Integrating all the relevant constraints in a global objective function, we are able to effectively leverage on the scene smoothness prior afforded by the dense formulation, as well as imposing the necessary algebraic constraints required by the shape matrix. These constraints also help to robustly decompose the measurement matrix into the underlying low-rank subspace and the sparse outlier part. Numerically, we achieve the constrained factorization and decomposition via modifying a recently proposed proximal alternating robust subspace minimization algorithm. The results show that our algorithm is effective in handling real life sequences, and outperforms other algorithms in recovering motions and dense scene estimate.",2018,Computer Vision and Image Understanding
KAZANTZIDIS201828,Vide-omics: A genomics-inspired paradigm for video analysis,"Computer vision, Freely moving camera, Genomics, Foreground detection, Segmentation, Scanlines","With the development of applications associated to ego-vision systems, smart-phones, and autonomous cars, automated analysis of videos generated by freely moving cameras has become a major challenge for the computer vision community. Current techniques are still not suitable to deal with real-life situations due to, in particular, wide scene variability and the large range of camera motions. Whereas most approaches attempt to control those parameters, this paper introduces a novel video analysis paradigm, ‘vide-omics’, inspired by the principles of genomics where variability is the expected norm. Validation of this new concept is performed by designing an implementation addressing foreground extraction from videos captured by freely moving cameras. Evaluation on a set of standard videos demonstrates both robust performance that is largely independent from camera motion and scene, and state-of-the-art results in the most challenging video. Those experiments underline not only the validity of the ‘vide-omics’ paradigm, but also its potential.",2018,Computer Vision and Image Understanding
BYEON201851,Unified optimization framework for localization and tracking of multiple targets with multiple cameras,"Multiple target tracking, Multiple cameras, Multidimensional assignment, 3D trajectory estimation","We present a method for three-dimensional (3D) localization and tracking of multiple targets by using images from multiple cameras with overlapping views. Most recent methods make an assumption on a flat ground plane and determine the 3D grounding location of each target based on this assumption. In contrast, we aim to find 3D locations of multiple head trajectories, regardless of their standing or sitting status without the flat ground plane assumption. For this purpose, we suggest a unified optimization formulation, which solves two coupled problems simultaneously: the spatio-temporal data association problem and the 3D trajectory estimation problem. To handle a large solution space, we develop an efficient optimization scheme that alternates the solving procedures between two coupled problems with a reasonable computational load. In the unified optimization formulation, we design a new cost function that describes 3D physical properties of each target. The experiments illustrate that the proposed method outperforms the state-of-the-art methods in 3D localization and tracking performance.",2018,Computer Vision and Image Understanding
STAFYLAKIS201822,Pushing the boundaries of audiovisual word recognition using Residual Networks and LSTMs,"Audiovisual speech recognition, Lipreading, Deep learning","Visual and audiovisual speech recognition are witnessing a renaissance which is largely due to the advent of deep learning methods. In this paper, we present a deep learning architecture for lipreading and audiovisual word recognition, which combines Residual Networks equipped with spatiotemporal input layers and Bidirectional LSTMs. The lipreading architecture attains 11.92% misclassification rate on the challenging Lipreading-In-The-Wild database, which is composed of excerpts from BBC-TV, each containing one of the 500 target words. Audiovisual experiments are performed using both intermediate and late integration, as well as several types and levels of environmental noise, and notable improvements over the audio-only network are reported, even in the case of clean speech. A further analysis on the utility of target word boundaries is provided, as well as on the capacity of the network in modeling the linguistic context of the target word. Finally, we examine difficult word pairs and discuss how visual information helps towards attaining higher recognition accuracy.",2018,Computer Vision and Image Understanding
FOGELTON201878,Eye blink completeness detection,"Blink detection, Incomplete blinks, Complete blinks, Recurrent neural network time shifting","Computer users often complain about eye discomfort caused by dry eye syndrome. This is sometimes caused and accompanied by incomplete blinks. There are several algorithms for eye blink detection, but none which would distinguish complete blinks from the incomplete ones. We introduce the first method which detects blink completeness. Blinks differ in speed and duration similar to speech, therefore Recurrent Neural Network (RNN) is used as a classifier due to its suitability for sequence-based features. We show that using unidirectional RNN with time shifting achieves higher performance compared to a bidirectional RNN, which is a suitable choice in this kind of problem where the feature pattern is not yet observed for the initial frames. We report the best results (increase by almost 8%) on the most challenging dataset: Researcher’s night. We formulate a new important problem and state an initial benchmark for further research.",2018,Computer Vision and Image Understanding
ZADRIJA20189,Sparse weakly supervised models for object localization in road environment,"Object localization, Weak supervision, Fisher vectors, Sparse models, Convolutional features, Geographic information system (GIS), OpenStreetMap","We propose a novel weakly supervised localization method based on Fisher-embedding of low-level features (CNN, SIFT), and model sparsity at the component level. Fisher-embedding provides an interesting alternative to raw low-level features, since it allows fast and accurate scoring of image subwindows with a model trained on entire images. Model sparsity reduces overfitting and enables fast evaluation. We also propose two new techniques for improving performance when our method is combined with nonlinear normalizations of the aggregated Fisher representation of the image. These techniques are (i) intra-component metric normalization and (ii) first-order approximation to the score of a normalized image representation. We evaluate our weakly supervised localization method on real traffic scenes acquired from driver’s perspective. The method dramatically improves the localization AP over the dense non-normalized Fisher vector baseline (16 percentage points for zebra crossings, 21 percentage points for traffic signs) and leads to a huge gain in execution speed (91× for zebra crossings, 74× for traffic signs).",2018,Computer Vision and Image Understanding
MADER201845,Detection and localization of spatially correlated point landmarks in medical images using an automatically learned conditional random field,"Automatic landmark detection and localization, Missing landmarks, Conditional random field, Weighting and selection of CRF potentials, Medical image analysis","The automatic detection and accurate localization of landmarks is a crucial task in medical imaging. It is necessary for tasks like diagnosis, surgical planning, and post-operative assessment. A common approach to localize multiple landmarks is to combine multiple independent localizers for individual landmarks with a spatial regularizer, e.g., a conditional random field (CRF). Its configuration, e.g., the CRF topology and potential functions, often has to be manually specified w.r.t. the application. In this paper, we present a general framework to automatically learn the optimal configuration of a CRF for localizing multiple landmarks. Furthermore, we introduce a novel “missing” label for each landmark (node in the CRF). The key idea is to define a pool of potentials and optimize their CRF weights and the potential values for missing landmarks in a learning framework. Potentials with a low weight are removed, thus optimizing the graph topology. This allows to easily transfer our framework to new applications, and to integrate different localizers. Further advantages of our algorithm are its low test runtime, low amount of training data, and interpretability. We illustrate its feasibility in a detailed evaluation on three medical datasets featuring high degrees of pathologies and outliers.",2018,Computer Vision and Image Understanding
AZIZ201854,Generic spatial-color metric for scale-space processing of catadioptric images,"Catadioptric images, Riemannian metric, Color processing, Gaussian kernel","Images produced by omnidirectional catadioptric systems provide a larger field of view than conventional cameras. However, these images contain significant radial distortions making classical processing unadapted. In addition, color information is almost neglected in omnidirectional imaging. In this paper, we propose a unifying framework, for central catadioptric color image processing, using Riemannian embedding that deals simultaneously with the geometric deformation due to the use of curved mirrors, and the multi-dimensional characteristic of the image. Based on the introduced Riemannian metric, we derive an adapted Gaussian kernel which is essential in widely used image processing. The resulting new formulation is then applied to various image processing: Image smoothing, Difference of Gaussians filtering and scale-space analysis, edge extraction and corner feature detection using Gaussian derivatives. The experiments illustrate the potential of the proposed approach, and show the higher quality of the adapted processing.",2018,Computer Vision and Image Understanding
CIOCCA201870,CNN-based features for retrieval and classification of food images,"Food retrieval, Food dataset, Food recognition, CNN-based features","Features learned by deep Convolutional Neural Networks (CNNs) have been recognized to be more robust and expressive than hand-crafted ones. They have been successfully used in different computer vision tasks such as object detection, pattern recognition and image understanding. Given a CNN architecture and a training procedure, the efficacy of the learned features depends on the domain-representativeness of the training examples. In this paper we investigate the use of CNN-based features for the purpose of food recognition and retrieval. To this end, we first introduce the Food-475 database, that is the largest publicly available food database with 475 food classes and 247,636 images obtained by merging four publicly available food databases. We then define the food-domain representativeness of different food databases in terms of the total number of images, number of classes of the domain and number of examples for class. Different features are then extracted from a CNN based on the Residual Network with 50 layers architecture and trained on food databases with diverse food-domain representativeness. We evaluate these features for the tasks of food classification and retrieval. Results demonstrate that the features extracted from the Food-475 database outperform the other ones showing that we need larger food databases in order to tackle the challenges in food recognition, and that the created database is a step forward toward this end.",2018,Computer Vision and Image Understanding
ZHANG201833,Mining deep And-Or object structures via cost-sensitive question-answer-based active annotations,"Hierarchical graphical model, Part semantics","This paper presents a cost-sensitive active Question-Answering (QA) framework for learning a nine-layer And-Or graph (AOG) from web images. The AOG explicitly represents object categories, poses/viewpoints, parts, and detailed structures within the parts in a compositional hierarchy. The QA framework is designed to minimize an overall risk, which trades off the loss and query costs. The loss is defined for nodes in all layers of the AOG, including the generative loss (measuring the likelihood of the images) and the discriminative loss (measuring the fitness to human answers). The cost comprises both the human labor of answering questions and the computational cost of model learning. The cost-sensitive QA framework iteratively selects different storylines of questions to update different nodes in the AOG. Experiments showed that our method required much less human supervision (e.g. labeling parts on 3–10 training objects for each category) and achieved better performance than baseline methods.",2018,Computer Vision and Image Understanding
YANG2018660,"Enhancing multi-factor cheating prevention in visual cryptography based minimum (k, n)-connected graph","Visual cryptography, Cheating attack, Cheating prevention, Verification image, Shadow image","Recently, Lin et al. [29] introduced a (k, n) multi-factor cheating prevention visual cryptographic scheme (MCPVCS) by hiding verification images into shadow images. Through authenticating the verification image and the reconstructed image simultaneously, Lin et al.’s MCPVCS can prevent cheating attack that dishonest participants may collude and cheat the honest one to get a wrong secret image. However, the large n reduces the size of verification image and makes the verification difficult. In this paper, a (k, n)-MCPVCS with the large size of verification image is proposed. There are three main contributions for the proposed (k, n)-MCPVCS: (i) the verification condition in (k, n)-MCPVCS is redefined, (ii) a new minimum (k, n)-connected graph problem is introduced, on which the minimum number of verification images is determined, and (iii) the proposed (k, n)-MCPVCS with the large size of verification image can more easily authenticate the unambiguity of verification image.",2018,Journal of Visual Communication and Image Representation
FAKHAR2018489,Learning an event-oriented and discriminative dictionary based on an adaptive label-consistent K-SVD method for event detection in soccer videos,"Soccer videos, Event detection, Sparse coding, Supervised dictionary learning, Adaptive discriminative dictionary learning","In this paper, we formulate the soccer video event detection task as a sparse representation problem by learning a supervised, discriminative and event-oriented dictionary based on learned weighted local features. To this end, we present a novel framework based on two ideas: First, we propose an approach for computing the representativeness of each video frame for each soccer event. Second, we propose an Adaptive Label-Consistent K-SVD (ALC-KSVD) algorithm to learn an event-oriented and discriminative dictionary based on the computed representativeness of frames to transfer video frames to a sparse space. To improve discrimination among frames of different events, we proposed a weighting method to identify local features that are more representative in each event category. Next, the representativeness score of each frame is calculated by aggregating the weighted local features within each frame. The calculated representativeness score of each frame indicates its belonging degree to each event. The representativeness score matrix, being a discriminative term, is combined with the reconstruction error to form an objective function to improve the discrimination ability in the sparse representation during the dictionary learning process. The obtained objective function is efficiently and optimally solved by the K-SVD algorithm. The representativeness score matrix, which is automatically calculated based on the training samples, defines an adaptive correspondence between the dictionary atoms and the labels of the frames. We demonstrate the effectiveness of the proposed framework on the detection and classification of several soccer events based on an extensive experimental investigation that was conducted using a large collection of video data. The experimental results indicate that our approach maintains good classification performance and outperforms the state-of-the-art methods.",2018,Journal of Visual Communication and Image Representation
DAI2018761,A new deep representation for large-scale scene classification,"Scene classification, Graphlets, Finished bag, Region adjacency graph","Large scale scene classification based on image is an important problem in computer vision. In this paper, we propose a method to fuse the local features of scene images into a geometric feature that can reflect both the geometric features of the scene image and the color intensity distribution. First, each scene image is segmented into a set of individually connected regions according to their color intensity distribution. A region adjacency graph is constructed to encode the geometric properties and color intensity of scene images. Later, a 5 tier CNN architecture was constructed to study regional features. Then, a thinning process is carried out to obtain a discriminant and compact template set from the training rag. These templates are used to extract graphlets finished bag (r-bogs) images represented by each scene. Finally, the strategy of boosting development is to classify the extracted r-bogs scenes. Experimental results on different datasets demonstrate the effectiveness and effectiveness of the proposed method.",2018,Journal of Visual Communication and Image Representation
ZHU2018477,Non-negative matrix factorization via discriminative label embedding for pattern classification,"Non-negative matrix factorization (NMF), Discriminative label embedding, Orthogonality constraint, Pattern classification","As one of the most commonly used dimension reduction approaches, discriminant non-negative matrix factorization (NMF) has been widely used for data representation in the pattern classification task. However, the previous discriminant NMFs emphasize the Fisher criterion or maximum margin criterion which has high requirement to the distribution of data. Therefore, this work proposes a discriminative label embedded NMF (LENMF) algorithm. LENMF takes into account the discriminative label embedding to obtain the low-dimensional projected data and orthogonal property of the non-negative basis to strength the ability of parts-based representation. Besides, LENMF is extended in the kernel space to explore the nonlinear relations of data. By integrating the non-negative constraint, discriminative label embedding, and the orthogonal property into the proposed objective, the multiplicative updating rules have been given in this work. Experiment results on the challenging face, object, document, and digit databases illustrate the performance of the proposed algorithm.",2018,Journal of Visual Communication and Image Representation
MI2018648,A sound-based video clipping framework toward sports scenes,"Sonogram, Deep representation, Convolutional neural network","Video clipping system is very important in many intelligent applications. In order to shorten the time of video and extract the framework of the video, many methods have been proposed. But these methods just considered videos without taking sound into account. As we know, sound is also an important information for image processing. For example, many sport match videos include rich sound of audience and commentator such as NBA. In addition, human pay more attention to some video clips of interest (VCOI) such as scoring time instead of pause. So in this paper, we propose a sound-based video clipping framework toward specific sports scenes. First, we convert sound of sport videos to sonogram. For some aesthetically-pleasing images (APIM) such as slam dunk or jump shot, a set of object patches are selected using BING feature. Then, these object patches are ordered by our active object patches ranking algorithm. After that, ordered object patches and sonogram are fed into CNN respectively to obtain patch-level deep feature. In order to obtain image-level deep representation, deep feature extracted from ordered object patches are aggregated statistically into a deep representation. Finally, probabilistic model is used to select VCOI and APIM. Experiments on some NBA basketball matches have shown the effectiveness of our video clipping framework.",2018,Journal of Visual Communication and Image Representation
RIBAL2018529,Efficient graph cut optimization for shape from focus,"Shape from focus, Depth map estimation, Graph cuts, Multi-labels","Shape From Focus refers to the inverse problem of recovering the depth in every point of a scene from a set of differently focused 2D images. Recently, some authors stated it in the variational framework and solved it by minimizing a non-convex functional. However, the global optimality on the solution is not guaranteed and evaluations are often application-specific. To overcome these limits, we propose to globally and efficiently minimize a convex functional by decomposing it into a sequence of binary problems using graph cuts. To illustrate the genericity of such a decomposition-based approach, data-driven strategies are considered, allowing us to optimize (in terms of reconstruction error) the choice of the depth values for a given number of possible depths. We provide qualitative and quantitative evaluation on Middlebury datasets and we show that, according to classic statistics on error values, the proposed approach exhibits high performance and robustness against corrupted data.",2018,Journal of Visual Communication and Image Representation
KAMRANIAN2018201,Co-segmentation via visualization,"Co-segmentation, Convolutional Neural Network (CNN), Feature visualization, Occlusion sensitivity, Adaptive learning","This paper addresses the co-segmentation problem using feature visualization for CNNs. Visualization is exploited as an auxiliary information to discriminate salient image regions (dubbed as “heat-regions”) from non-salient ones. Region occlusion sensitivity is proposed for feature visualization. The co-segmentation problem is formulated via a convex quadratic optimization which is initialized by the heat-regions. The information obtained through the visualization is considered as an extra energy term in the cost function. The results of the visualization demonstrate that there exist some heat-regions which are not productive in the co-segmentation. To detect helpful regions among them, an adaptive strategy in the form of an iterative algorithm is proposed according to the consistency among all images. Comparison experiments conducted on two benchmark datasets, iCoseg and MSRC, illustrate the superior performance of the proposed approach over state-of-the-art algorithms.",2018,Journal of Visual Communication and Image Representation
MORILLAS2018142,Using suprathreshold color-difference ellipsoids to estimate any perceptual color-difference,"Color-difference formulas, Fuzzy logic, Fuzzy Metrics, STRESS","Relating instrumentally measured to visually perceived colour-differences is one of the challenges of advanced colorimetry. Lately, the use of color difference formulas is becoming more important in the computer vision field as it is a key tool in advancing towards perceptual image processing and understanding. In the last decades, the study of contours of equal color-differences around certain color centers has been of special interest. In particular, the contour of threshold level difference that determines the just noticeable differences (JND) has been deeply studied and, as a result, a set of 19 different ellipsoids of suprathreshold color-difference is available in the literature. In this paper we study whether this set of ellipsoids could be used to compute any color difference in any region of the color space. To do so, we develop a fuzzy multi-ellipsoid model using the ellipsoids information along with two different metrics. We see that the performance of the two metrics vary significantly for very small, small, medium and large color differences. Therefore, we also study how to adapt two metric parameters to optimize performance. The obtained results outperform the currently CIE-recommended color-difference formula CIEDE2000.",2018,Journal of Visual Communication and Image Representation
KIM201812,Multipath-based transmission scheme for improving the QoE of HTTP adaptive streaming,"HTTP adaptive streaming, Quality of experience, Multipath","The number of users using multimedia streaming services in various environments is increasing. Accordingly, HyperText Transfer Protocol (HTTP) adaptive streaming has attracted attention. Recently, there have been many studies on schemes for improving the Quality of Experience (QoE) by using multipaths in HTTP adaptive streaming. Downloading segments at the same time using multipaths can take up a high amount of bandwidth and make the transmission robust to data loss. However, when the bandwidths of the multipaths are aggregated, the variation of the bandwidth fluctuation increases, so quality changes occur more frequently. Additionally, it takes time to reorder the segments due to different segment download times received through the multipath. To this end, we propose a multipath-based transmission scheme to improve the QoE of HTTP adaptive streaming in the multipath environment. The proposed scheme improves the QoE by increasing the average video quality and reducing the frequency of video quality changes.",2018,Journal of Visual Communication and Image Representation
GAO2018586,Single fog image restoration with multi-focus image fusion,"Image restoration, Histogram analysis, Adaptive boundary constraint, Multi-focus image fusion","The images and videos captured in bad weather usually have low quality caused by reduced contrast and faded color. However, traditional techniques are not sufficient to solve the problems of halo artifacts and brightness distortion. In this paper, a multi-focus fusion method for single fog image restoration is proposed. Firstly, we estimate the global atmospheric light only in the sky regions to minimize interference from other regions. Secondly, we introduce a novel fast local Laplacian filtering with adaptive boundary constraint to optimize the transmission properly so as to reduce the halo artifacts. Finally, we remove the haze and produce a more natural effect on visual recovery by using a new multi-focus image fusion method. Experimental results show that the proposed method outperforms state-of-the-art haze removal methods in terms of efficiency and dehazing visual effect.",2018,Journal of Visual Communication and Image Representation
